Data,Condutividade,uT,MatSusp
23/09/13,8.5,2.5,0.9
15/10/13,10.2,6.0,2.44
25/11/13,8.1,6.0,8.89
30/12/13,10.1,7.9,8.43
22/01/14,7.1,19.8,14.14
21/02/14,7.6,5.0,2.87
19/03/14,9.9,5.3,1.56
25/04/14,7.8,8.8,7.15
27/05/14,6.3,2.3,1.91
30/07/14,24.8,3.7,2.26
18/11/14,7.7,5.5,3.1
17/12/14,41.7,157,6.52
20/01/15,7,3.0,2.143
20/03/15,6.2,14.4,10.75
22/04/15,8.7,9.8,6.625
18/05/15,8.3,5.2,0.8
19/06/15,8.2,3.2,2.333
06/10/15,8.2,1.5,5.633
09/11/15,9.4,0.8,1.667
07/12/15,9.1,3.2,1.613
08/01/16,20.9,3.5,38
07/03/16,10.3,9.6,8.214
07/04/16,8.3,6.3,2.671
05/10/16,10.9,4.7,1.567
08/11/16,9.2,5.5,9.189
06/12/16,10.4,6.6,3.933
05/01/17,9.6,4.6,3
06/03/17,9.1,5.5,3.563
06/04/17,32.2,7.2,5.756
08/05/17,9.7,4.5,2.198
06/06/17,31.5,3.8,1.795
05/12/17,9.7,4.8,3.913
08/01/18,84.7,9.5,39.941
05/02/18,9.6,8.9,8.193
07/03/18,10.2,5.6,3.263
12/04/18,10.2,8.1,5.1
09/05/18,9.1,4.1,2.688
05/06/18,8.8,4,3.5
06/11/18,,,18.194
03/12/18,10.7,17.3,8.78
08/01/19,10.9,3.9,2.754
05/02/19,18.6,9.3,6.286
07/03/19,13.8,6.7,7.898
03/04/19,11.2,7.6,5.45
08/05/19,11.9,6.6,5.06
05/06/19,10.9,4.1,2.1
02/10/19,10.9,3.2,1.25
06/11/19,13,6.1,2.31
09/12/19,22.8,14.7,13.07
08/01/20,11,11.8,9.6
07/02/20,31.8,11.63,22.93
05/03/20,17.3,10.2,10.06
06/04/20,14,8.72,5.96
07/05/20,18.1,6.58,5.45
04/06/20,31.4,3.97,1.69
09/11/20,31.8,8.09,15
